n02119789	kit fox, vulpes macrotis
n02410509	bison
n02487079	drill, mandrillus leucophaeus
n02146201	red bat, lasiurus borealis
n02424486	greater kudu, tragelaphus strepsiceros
n02492660	howler monkey, howler
n02430748	pricket
n02343058	eurasian hamster, cricetus cricetus
n02398521	hippopotamus, hippo, river horse, hippopotamus amphibius
n02406046	africander
n02415435	mountain sheep
n02395931	porker
n02112137	chow, chow chow
n02402425	cattle, cows, kine, oxen, bos taurus
n02436645	water chevrotain, water deer, hyemoschus aquaticus
n02341974	water vole, water rat, arvicola amphibius
n02510455	giant panda, panda, panda bear, coon bear, ailuropoda melanoleuca
n02365480	capybara, capibara, hydrochoerus hydrochaeris
n02147173	big brown bat, eptesicus fuscus
n02085019	feist, fice
n02119359	silver fox
n02107420	sennenhunde
n02407959	old world buffalo, buffalo
n02070624	harbor porpoise, herring hog, phocoena phocoena
n02093428	american staffordshire terrier, staffordshire terrier, american pit bull terrier, pit bull terrier
n02105855	shetland sheepdog, shetland sheep dog, shetland
n02124313	abyssinian, abyssinian cat
n02405440	banteng, banting, tsine, bos banteng
n02111500	great pyrenees
n02389943	jack, jackass
n02118333	fox
n02361587	groundhog, woodchuck, marmota monax
n02434415	barren ground caribou, rangifer arcticus
n02115012	coydog
n02491107	tamarin, lion monkey, lion marmoset, leoncita
n02085620	chihuahua
n02337598	pygmy mouse, baiomys taylori
n02331046	rat
n02487547	rhesus, rhesus monkey, macaca mulatta
n02142407	macrotus, macrotus californicus
n02079005	steller sea lion, steller's sea lion, eumetopias jubatus
n02439033	giraffe, camelopard, giraffa camelopardalis
n02402175	ox, wild ox
n02361090	northern flying squirrel, glaucomys sabrinus
n02079389	earless seal, true seal, hair seal
n02324045	rabbit, coney, cony
n02347274	brush tailed porcupine, brush tail porcupine
n02139671	fruit bat, megabat
n02322992	duplicidentata
n02390454	wild ass
n02126028	jungle cat, felis chaus
n02485536	vervet, vervet monkey, cercopithecus aethiops pygerythrus
n02104280	housedog
n02404432	longhorn, texas longhorn
n02404186	beef, beef cattle
n02445004	river otter, lutra canadensis
n02475669	homo sapiens sapiens, modern man
n02123045	tabby, tabby cat
n02141611	mouse eared bat
n02360933	southern flying squirrel, glaucomys volans
n02126640	margay, margay cat, felis wiedi
n02372140	dinoceras, uintathere
n02324431	rabbit ears
n02481235	eastern lowland gorilla, gorilla gorilla grauri
n02490219	marmoset
n02140491	harpy, harpy bat, tube nosed bat, tube nosed fruit bat
n02072493	narwhal, narwal, narwhale, monodon monoceros
n02487675	bonnet macaque, bonnet monkey, capped macaque, crown monkey, macaca radiata
n02099712	labrador retriever
n02456962	sloth, tree sloth
n02375757	gee gee
n02120997	feline, felid
n02377703	saddle horse, riding horse, mount
n02402010	bovine
n02327842	snowshoe hare, snowshoe rabbit, varying hare, lepus americanus
n02104184	attack dog
n02148991	western big eared bat, plecotus townsendi
n02063224	baleen whale, whalebone whale
n02408660	indian buffalo
n02109525	saint bernard, st bernard
n02357111	red squirrel, cat squirrel, sciurus vulgaris
n02470325	ape
n02340640	rice rat, oryzomys palustris
n02432983	elk, european elk, moose, alces alces
n02507148	digitigrade mammal, digitigrade
n02459190	mylodontid
n02508021	raccoon, racoon
n02331842	murine
n02065726	humpback, humpback whale, megaptera novaeangliae
n02454794	peba, nine banded armadillo, texas armadillo, dasypus novemcinctus
n02460817	silky anteater, two toed anteater, cyclopes didactylus
n02327028	jackrabbit
n02454379	armadillo
n02111889	samoyed, samoyede
n02338722	cotton rat, sigmodon hispidus
n02501923	tarsius syrichta
n02370806	ungulate, hoofed mammal
n02481366	mountain gorilla, gorilla gorilla beringei
n02088632	bluetick
n02090379	redbone
n02117646	brown hyena, strand wolf, hyaena brunnea
n02368399	abrocome, chinchilla rat, rat chinchilla
n02443114	polecat, fitch, foulmart, foumart, mustela putorius
n02361337	marmot
n02105412	kelpie
n02483362	gibbon, hylobates lar
n02119247	black fox
n02437616	llama
n02107312	miniature pinscher
n02453611	edentate
n02387887	coach horse
n02448885	hog badger, hog nosed badger, sand badger, arctonyx collaris
n02325366	wood rabbit, cottontail, cottontail rabbit
n02341616	prairie vole, microtus ochrogaster
n02123242	tortoiseshell, tortoiseshell cat, calico cat
n02114100	wolf
n02091032	italian greyhound
n02328942	collared pika, ochotona collaris
n02129165	lion, king of beasts, panthera leo
n02359324	prairie dog, prairie marmot
n02473554	pithecanthropus, pithecanthropus erectus, genus pithecanthropus
n02139199	bat, chiropteran
n02502807	cynocephalus variegatus
n02379183	quarter horse
n02144936	big eared bat, megaderma lyra
n02137015	genet, genetta genetta
n02116185	crab eating dog, crab eating fox, dusicyon cancrivorus
n02420509	blackbuck, black buck, antilope cervicapra
n02153809	fossorial mammal
n02486908	mandrill, mandrillus sphinx
n02388735	chestnut
n02102318	cocker spaniel, english cocker spaniel, cocker
n02149861	pocketed bat, pocketed freetail bat, tadirida femorosacca
n02100877	irish setter, red setter
n02119634	kit fox, prairie fox, vulpes velox
n02074367	dugong, dugong dugon
n02149420	freetail, free tailed bat, freetailed bat
n02504013	indian elephant, elephas maximus
n02381261	dun
n02108254	mastiff
n02427183	giant eland, taurotragus derbianus
n02392555	woolly rhinoceros, rhinoceros antiquitatis
n02118707	reynard
n02442172	ermine, shorttail weasel, mustela erminea
n02363005	beaver
n02143891	horseshoe bat
n02453108	pachyderm
n02386968	clydesdale
n02406432	ayrshire
n02379329	morgan
n02102480	sussex spaniel
n02081571	walrus, seahorse, sea horse
n02088745	boarhound
n02113023	pembroke, pembroke welsh corgi
n02470899	anthropoid ape
n02372952	rock hyrax, rock rabbit, procavia capensis
n02405929	aberdeen angus, angus, black angus
n02130086	tiglon, tigon
n02324587	bunny, bunny rabbit
n02382635	shetland pony
n02352591	dormouse
n02124623	wildcat
n02352932	loir, glis glis
n02509197	kinkajou, honey bear, potto, potos flavus, potos caudivolvulus
n02350105	kangaroo rat, desert rat, dipodomys phillipsii
n02337902	grasshopper mouse
n02071028	grampus, grampus griseus
n02355477	tree squirrel
n02386141	cob
n02143439	horseshoe bat
n02335127	water rat
n02484322	monkey
n02415253	dall sheep, dall's sheep, white sheep, ovis montana dalli
n02380875	bucking bronco
n02426481	steenbok, steinbok, raphicerus campestris
n02378149	remount
n02142898	phyllostomus hastatus
n02344270	tamarisk gerbil, meriones unguiculatus
n02474110	homo soloensis
n02102806	american water spaniel
n02070430	porpoise
n02085374	toy dog, toy
n02461830	pangolin, scaly anteater, anteater
n02076196	seal
n02080713	bearded seal, squareflipper square flipper, erignathus barbatus
n02086646	blenheim spaniel
n02497673	madagascar cat, ring tailed lemur, lemur catta
n02087394	rhodesian ridgeback
n02099029	retriever
n02395003	swine
n02413484	cotswold
n02438173	guanaco, lama guanicoe
n02363996	mountain beaver, sewellel, aplodontia rufa
n02336011	new world mouse
n02387254	farm horse, dobbin
n02443346	ferret
n02127052	lynx, catamount
n02375438	stablemate, stable companion
n02419634	takin, gnu goat, budorcas taxicolor
n02372584	hyrax, coney, cony, dassie, das
n02136285	cryptoprocta, genus cryptoprocta
n02384741	steeplechaser
n02352002	typical jerboa
n02387093	percheron
n02443808	muishond
n02067603	pygmy sperm whale, kogia breviceps
n02498743	slender loris, loris gracilis
n02409870	asian wild ox
n02428842	forest goat, spindle horn, pseudoryx nghetinhensis
n02137302	banded palm civet, hemigalus hardwickii
n02122430	mouser
n02476567	australopithecus afarensis
n02388276	trotting horse, trotter
n02431785	wapiti, elk, american elk, cervus elaphus canadensis
n02434954	muntjac, barking deer
n02382039	cayuse, indian pony
n02116738	african hunting dog, hyena dog, cape hunting dog, lycaon pictus
n02396088	sow
n02343772	gerbil, gerbille
n02361706	hoary marmot, whistler, whistling marmot, marmota caligata
n02488291	langur
n02418770	goral, naemorhedus goral
n02123785	blue point siamese
n02091244	ibizan hound, ibizan podenco
n02396796	babirusa, babiroussa, babirussa, babyrousa babyrussa
n02349390	plains pocket mouse, perognathus flavescens
n02362194	asiatic flying squirrel
n02109391	hearing dog
n02477028	australopithecus boisei
n02446206	striped skunk, mephitis mephitis
n02071636	pilot whale, black whale, common blackfish, blackfish, globicephala melaena
n02114367	timber wolf, grey wolf, gray wolf, canis lupus
n02345774	hudson bay collared lemming, dicrostonyx hudsonius
n02065263	sei whale, balaenoptera borealis
n02130308	cheetah, chetah, acinonyx jubatus
n02089973	english foxhound
n02105251	briard
n02134418	sloth bear, melursus ursinus, ursus ursinus
n02093754	border terrier
n02141306	carnivorous bat, microbat
n02358712	flickertail, richardson ground squirrel, citellus richardsoni
n02332156	house mouse, mus musculus
n02106662	german shepherd, german shepherd dog, german police dog, alsatian
n02144251	orange bat, orange horseshoe bat, rhinonicteris aurantius
n02444819	otter
n02108672	bulldog, english bulldog
n02143142	hognose bat, choeronycteris mexicana
n02340930	pine vole, pine mouse, pitymys pinetorum
n02126139	serval, felis serval
n02084071	dog, domestic dog, canis familiaris
n02344918	european lemming, lemmus lemmus
n02338901	wood rat, wood rat
n02138777	suricate, suricata tetradactyla
n02396157	razorback, razorback hog, razorbacked hog
n02439398	okapi, okapia johnstoni
n02425532	nilgai, nylghai, nylghau, blue bull, boselaphus tragocamelus
n02407390	friesian, holstein, holstein friesian
n02481103	western lowland gorilla, gorilla gorilla gorilla
n02431441	hind
n02433546	roe deer, capreolus capreolus
n02329401	rodent, gnawer
n02127381	canada lynx, lynx canadensis
n02500596	woolly indris, avahi laniger
n02410011	gaur, bibos gaurus
n02406174	dairy cattle, dairy cow, milch cow, milk cow, milcher, milker
n01876667	rabbit eared bandicoot, rabbit bandicoot, bilby, macrotis lagotis
n01878929	rock wallaby, rock kangaroo
n01886045	pouched mole, marsupial mole, notoryctus typhlops
n01881171	phalanger, opossum, possum
n01883513	dasyurid marsupial, dasyurid
n01884203	native cat, dasyurus viverrinus
n01889520	mole
n01893164	mediterranean water shrew, neomys anomalus
n01886756	placental, placental mammal, eutherian, eutherian mammal
n01894207	tenrec, tendrac
n01890144	brewer's mole, hair tailed mole, parascalops breweri
n01893021	european water shrew, neomys fodiens
n01888264	buck
n01887787	cow
n01892744	american water shrew, sorex palustris
n01875313	common opossum, didelphis virginiana, didelphis marsupialis
n01884104	eastern dasyure, dasyurus quoll
n01878639	nail tailed wallaby, nail tailed kangaroo
n01323068	tiger cub
n01862399	female mammal
n01892030	common shrew, sorex araneus
n01878061	common wallaby, macropus agiles
n01894956	otter shrew, potamogale, potamogale velox
n01880813	jerboa kangaroo, kangaroo jerboa
n01891013	asiatic shrew mole, uropsilus soricipes
n01891274	american shrew mole, neurotrichus gibbsii
n01879509	tree wallaby, tree kangaroo
n01890564	golden mole
n01322508	wolf pup, wolf cub
n01882714	koala, koala bear, kangaroo bear, native bear, phascolarctos cinereus
n01871265	tusker
n01871543	prototherian
n01885158	pouched mouse, marsupial mouse, marsupial rat
n01885498	numbat, banded anteater, anteater, myrmecobius fasciatus
n01880716	bettong
n01872401	echidna, spiny anteater, anteater
n01877134	kangaroo
n01892551	water shrew
n01877606	giant kangaroo, great grey kangaroo, macropus giganteus
n01877812	wallaby, brush kangaroo
n01893825	hedgehog, erinaceus europaeus, erinaceus europeaeus
n01884476	thylacine, tasmanian wolf, tasmanian tiger, thylacinus cynocephalus
n01888411	doe
n01873310	platypus, duckbill, duckbilled platypus, duck billed platypus, ornithorhynchus anatinus
n01884834	tasmanian devil, ursine dasyure, sarcophilus hariisi
n01874434	marsupial, pouched mammal
n01888181	yearling
n01883920	dasyure
n01889849	starnose mole, star nosed mole, condylura cristata
n01878335	hare wallaby, kangaroo hare
n01876326	bandicoot
n01889074	insectivore
n01880152	rat kangaroo, kangaroo rat
n01879837	musk kangaroo, hypsiprymnodon moschatus
n01890860	shrew mole
n01882125	flying phalanger, flying opossum, flying squirrel
n01881857	brush tailed phalanger, trichosurus vulpecula
n01880473	potoroo
n01322898	lion cub
n01876034	opossum rat
n01871875	monotreme, egg laying mammal
n01875610	crab eating opossum
n01881564	cuscus
n01892385	short tailed shrew, blarina brevicauda
n01883070	wombat
n01887623	bull
n01872772	echidna, spiny anteater, anteater
n01874928	opossum, possum
n01891633	shrew, shrewmouse
n01322983	bear cub
n01892145	masked shrew, sorex cinereus
n01879217	pademelon, paddymelon
n01322604	puppy
n01861778	mammal, mammalian
n01893399	least shrew, cryptotis parva
n01894522	tailless tenrec, tenrec ecaudatus
n01887474	livestock, stock, farm animal
n10528148	rhodesian man, homo rhodesiensis
n04086273	revolver, six gun, six shooter
n04507155	umbrella
n04147183	schooner
n04102037	in line skate
n04555897	watch, ticker
n04254680	soccer ball
n02672831	accordion, piano accordion, squeeze box
n02055803	penguin
n02219486	ant, emmet, pismire
n02317335	starfish, sea star
n01698434	alligator, gator
n01968897	chambered nautilus, pearly nautilus, nautilus
n01639765	frog, toad, toad frog, anuran, batrachian, salientian
n11978233	sunflower, helianthus
n03746005	menorah
n03301568	euphonium
n03452741	grand piano, grand
n03642806	laptop, laptop computer
n13111881	bonsai
n07745940	strawberry
n02918964	bumper car, dodgem
n02863638	bogy, bogie, bogey
n03140771	cruise missile
n02686121	airbus
n03809312	narrowbody aircraft, narrow body aircraft, narrow body
n04583620	widebody aircraft, wide body aircraft, wide body, twin aisle airplane
n02690373	airliner
n02704645	amphibian, amphibious aircraft
n02842573	biplane
n03215191	dive bomber
n04308273	stealth bomber
n02867715	bomber
n03174079	delta wing
n03577672	interceptor
n04308397	stealth fighter
n03335030	fighter, fighter aircraft, attack aircraft
n03490784	hangar queen
n03321419	fanjet, fan jet, turbofan, turbojet
n03596543	jetliner
n03604311	jumbojet, jumbo jet
n04503499	twinjet
n03595860	jet, jet plane, jet propelled plane
n03783873	monoplane
n03798610	multiengine airplane, multiengine plane
n04012482	propjet, turboprop, turbo propeller plane
n04222723	single prop, single propeller plane
n04012084	propeller plane
n04062644	reconnaissance plane
n03365231	floatplane, pontoon plane
n03373611	flying boat
n04160586	seaplane, hydroplane
n04230487	ski plane
n04389999	tanker plane
n02691156	airplane, aeroplane, plane
n02759387	autogiro, autogyro, gyroplane
n03245889	drone, pilotless aircraft, radio controlled aircraft
n03491032	hang glider
n03439814	glider, sailplane
n02965122	cargo helicopter
n04212467	shuttle helicopter
n04223066	single rotor helicopter
n03512147	helicopter, chopper, whirlybird, eggbeater
n03857156	orthopter, ornithopter
n04552348	warplane, military plane
n03510583	heavier than air craft
n03621694	kite balloon
n02794972	barrage balloon
n02850950	blimp, sausage balloon, sausage
n02692877	airship, dirigible
n03541923	hot air balloon
n03752922	meteorological balloon
n04480527	trial balloon
n02782093	balloon
n03666917	lighter than air craft
n04308084	stealth aircraft
n02686568	aircraft
n03547229	hovercraft, ground effect machine
n03638623	landing craft
n03638180	lander
n03697366	lunar excursion module, lunar module, lem
n04264765	space capsule, capsule
n04266014	space shuttle
n04304215	starship, spaceship
n04264914	spacecraft, ballistic capsule, space vehicle
